"DisMod II input and output, database Brazil","","","","","","","","","","","",""
"Females, Disease: CHD (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 10/01/2019, 10:00:46","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"46","0.0010","0.0384","0.0000","0.0002","0.0010","0.0173","0.0000","0.0108","25.3474","0.0002","5.0146","46.5000"
"47","0.0011","0.0409","0.0000","0.0002","0.0011","0.0182","0.0000","0.0115","24.6913","0.0002","4.9787","47.5000"
"48","0.0012","0.0435","0.0000","0.0002","0.0012","0.0192","0.0000","0.0122","24.0489","0.0002","4.9203","48.5000"
"49","0.0013","0.0462","0.0000","0.0003","0.0013","0.0203","0.0000","0.0128","23.4172","0.0003","4.8403","49.5000"
"50","0.0014","0.0490","0.0000","0.0003","0.0014","0.0215","0.0000","0.0134","22.7941","0.0003","4.7401","50.5000"
"51","0.0015","0.0519","0.0000","0.0003","0.0016","0.0228","0.0000","0.0139","22.1782","0.0003","4.6228","51.5000"
"52","0.0017","0.0549","0.0000","0.0003","0.0017","0.0242","0.0000","0.0145","21.5687","0.0003","4.4908","52.5000"
"53","0.0018","0.0580","0.0000","0.0004","0.0018","0.0256","0.0000","0.0150","20.9662","0.0004","4.3473","53.5000"
"54","0.0019","0.0611","0.0000","0.0004","0.0020","0.0272","0.0000","0.0156","20.3717","0.0004","4.2023","54.5000"
"55","0.0021","0.0643","0.0000","0.0005","0.0021","0.0289","0.0000","0.0163","19.7861","0.0005","4.0634","55.5000"
"56","0.0022","0.0676","0.0000","0.0005","0.0023","0.0307","0.0000","0.0170","19.2101","0.0005","3.9340","56.5000"
"57","0.0024","0.0710","0.0000","0.0006","0.0024","0.0326","0.0000","0.0178","18.6441","0.0006","3.8152","57.5000"
"58","0.0026","0.0744","0.0000","0.0006","0.0026","0.0346","0.0000","0.0185","18.0872","0.0006","3.7058","58.5000"
"59","0.0028","0.0778","0.0000","0.0007","0.0028","0.0368","0.0000","0.0192","17.5383","0.0007","3.5992","59.5000"
"60","0.0030","0.0812","0.0000","0.0008","0.0030","0.0391","0.0000","0.0199","16.9954","0.0008","3.4904","60.5000"
"61","0.0033","0.0847","0.0000","0.0008","0.0033","0.0416","0.0000","0.0204","16.4569","0.0008","3.3770","61.5000"
"62","0.0036","0.0881","0.0000","0.0009","0.0036","0.0443","0.0000","0.0209","15.9211","0.0009","3.2597","62.5000"
"63","0.0039","0.0915","0.0000","0.0010","0.0039","0.0472","0.0000","0.0214","15.3871","0.0010","3.1408","63.5000"
