age,sex,race3,educ,year,pop
20,1,1,1,2000,215381.856178047
20,1,1,2,2000,655041.696215592
20,1,2,1,2000,93232.1193779593
20,1,2,2,2000,781515.328228402
20,2,1,1,2000,140827.85982785
20,2,1,2,2000,667674.42317711
20,2,2,1,2000,71938.1935766311
20,2,2,2,2000,857970.523418409
21,1,1,1,2000,205245.424459437
21,1,1,2,2000,624312.360395752
21,1,2,1,2000,95799.8871975513
21,1,2,2,2000,768009.32794726
21,2,1,1,2000,139256.731861201
21,2,1,2,2000,638604.284319824
21,2,2,1,2000,74985.6014005747
21,2,2,2,2000,843545.3824184
22,1,1,1,2000,218507.304725528
22,1,1,2,2000,597965.484709233
22,1,2,1,2000,98793.6939351103
22,1,2,2,2000,722341.516630129
22,2,1,1,2000,146132.596765248
22,2,1,2,2000,618157.998248878
22,2,2,1,2000,80047.8577648326
22,2,2,2,2000,805122.547221041
23,1,1,1,2000,212946.856261747
23,1,1,2,2000,569990.898116219
23,1,2,1,2000,101719.34277745
23,1,2,2,2000,692659.902844584
23,2,1,1,2000,148829.188889575
23,2,1,2,2000,593950.741799246
23,2,2,1,2000,81344.2943864594
23,2,2,2,2000,772726.77492472
24,1,1,1,2000,208263.640619678
24,1,1,2,2000,539258.427024875
24,1,2,1,2000,100495.228671298
24,1,2,2,2000,666806.703684149
24,2,1,1,2000,145203.407490337
24,2,1,2,2000,556852.99592626
24,2,2,1,2000,84574.6048689042
24,2,2,2,2000,754519.991714499
25,1,1,1,2000,206121.182880013
25,1,1,2,2000,510102.48889913
25,1,2,1,2000,103714.839220166
25,1,2,2,2000,639721.48900069
25,2,1,1,2000,147816.440971546
25,2,1,2,2000,535208.57936983
25,2,2,1,2000,81875.503468366
25,2,2,2,2000,727597.476190258
26,1,1,1,2000,197421.680180966
26,1,1,2,2000,489111.000998523
26,1,2,1,2000,100434.861563827
26,1,2,2,2000,623046.457256683
26,2,1,1,2000,143529.608494085
26,2,1,2,2000,515903.444423114
26,2,2,1,2000,85749.219724127
26,2,2,2,2000,704062.727358673
27,1,1,1,2000,193074.153324184
27,1,1,2,2000,472121.009461573
27,1,2,1,2000,99812.3462486585
