age,sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
14,men,1771394,1788620,1789217,1763973,1722160,1689971,1624842,1598668,1583201,1577771,1558699,1519540,1507693,1497435,1475380,1479492,1484679,1480652,1500702,1531570,1500273,1488711,1515595,1507018,1497625,1487284,1475370,1462048,1448259,1434019,1419610,1405167,1390587,1376362,1362837,1349458,1335954,1322998,1310832,1299359,1288155,1277222,1266952,1257229,1247898,1238976,1230689,1223138,1215734,1208355,1201081
15,men,1754602,1769396,1786655,1787294,1762126,1720396,1688288,1623280,1597170,1581750,1576353,1557323,1518219,1506405,1496181,1474175,1478312,1483523,1479532,1499580,1530454,1499198,1487659,1514541,1505987,1496615,1486299,1474410,1461111,1447343,1433123,1418730,1404319,1389757,1375549,1362042,1348680,1335194,1322255,1310103,1298642,1287453,1276537,1266278,1256567,1247248,1238334,1230055,1222514,1215117,1207752
16,men,1734481,1751365,1766208,1783515,1784225,1759173,1717584,1685618,1620789,1594768,1579416,1574065,1555098,1516094,1504329,1494169,1472240,1476417,1481666,1477728,1497779,1528653,1497469,1485966,1512845,1504326,1494991,1484716,1472854,1459596,1445861,1431679,1417319,1402943,1388412,1374233,1360758,1347420,1333961,1321047,1308923,1297488,1286315,1275421,1265184,1255489,1246195,1237295,1229028,1221511,1214121
17,men,1722324,1731283,1748217,1763101,1780458,1781242,1756303,1714861,1683033,1618354,1592412,1577131,1571830,1552915,1514013,1502300,1492202,1470348,1474562,1479850,1475953,1496017,1526886,1495768,1484300,1511179,1502699,1493389,1483154,1471329,1458105,1444408,1430255,1415925,1401582,1387081,1372933,1359488,1346178,1332742,1319851,1307755,1296344,1285191,1274312,1264098,1254421,1245149,1236268,1228010,1220508
18,men,1725238,1719153,1728172,1745156,1760088,1777479,1778333,1753523,1712234,1680518,1615971,1590104,1574889,1569639,1550782,1511978,1500322,1490278,1468494,1472746,1478069,1474209,1494285,1525153,1494101,1482666,1509539,1501099,1491823,1481618,1469829,1456636,1442976,1428857,1414558,1400245,1385773,1371654,1358234,1344951,1331547,1318676,1306600,1295211,1284082,1273226,1263030,1253364,1244110,1235252,1227004
19,men,1737191,1722070,1716070,1725144,1742172,1757156,1774587,1775528,1750836,1709672,1678050,1613637,1587842,1572694,1567488,1548698,1509981,1498383,1488397,1466683,1470966,1476326,1472502,1492582,1523450,1492465,1481064,1507933,1499521,1490277,1480110,1468358,1455193,1441564,1427474,1413205,1398923,1384483,1370391,1356994,1343736,1330357,1317516,1305460,1294090,1282980,1272147,1261973,1252324,1243083,1234245
20,men,1744496,1733167,1718163,1712267,1721401,1738494,1753549,1771171,1772227,1747624,1706567,1675033,1610749,1585007,1569944,1564802,1546090,1507480,1495957,1486035,1464411,1468731,1474135,1470357,1490448,1521309,1490399,1479043,1505906,1497532,1488324,1478197,1466486,1453362,1439771,1425723,1411493,1397244,1382841,1368784,1355423,1342197,1328844,1316034,1304005,1292661,1281578,1270763,1260617,1250987,1241770
21,men,1749243,1739610,1728422,1713546,1707770,1716987,1734166,1749436,1767275,1768404,1743872,1702908,1671457,1607296,1581630,1566666,1561594,1542974,1504494,1493054,1483204,1461686,1466058,1471511,1467788,1487886,1518742,1487924,1476618,1503469,1495139,1485977,1475901,1464232,1451157,1437608,1423608,1409426,1395216,1380861,1366839,1353520,1340332,1327018,1314244,1302243,1290933,1279880,1269091,1258981,1249372
22,men,1752112,1744360,1734861,1723814,1709067,1703408,1712721,1730119,1745608,1763479,1764609,1740142,1699271,1667896,1603889,1578326,1563465,1558464,1539928,1501574,1490217,1480442,1459017,1463437,1468934,1465270,1485374,1516222,1485492,1474236,1501076,1492791,1483669,1473644,1462015,1448985,1435482,1421527,1407389,1393216,1378906,1364927,1351642,1338493,1325215,1312476,1300504,1289223,1278203,1267439,1257356
23,men,1751859,1747238,1739621,1730258,1719337,1704728,1699196,1708730,1726351,1741877,1759718,1760845,1736435,1695645,1664382,1600567,1575104,1560340,1555405,1536956,1498719,1487432,1477733,1456407,1460870,1466409,1462802,1482911,1513754,1483106,1471895,1498722,1490481,1481400,1471418,1459834,1446846,1433387,1419477,1405378,1391246,1376978,1363034,1349790,1336675,1323432,1310727,1298788,1287536,1276545,1265810
24,men,1748406,1747000,1742510,1735017,1725783,1714994,1700532,1695264,1705029,1722681,1738179,1755981,1757102,1732743,1692073,1660956,1597329,1571955,1557286,1552418,1534046,1495929,1484709,1475082,1453851,1458354,1463937,1460387,1480494,1511326,1480761,1469599,1496409,1488210,1479168,1469230,1457691,1444746,1431328,1417459,1403401,1389306,1375079,1361175,1347967,1334889,1321674,1308999,1297090,1285873,1274910
25,men,1743529,1743523,1742239,1737872,1730509,1721408,1710777,1696659,1691669,1701461,1719057,1734509,1752254,1753345,1729075,1688555,1657578,1594135,1568857,1554273,1549472,1531172,1493178,1482029,1472470,1451330,1455876,1461494,1458004,1478115,1508937,1478453,1467334,1494127,1485974,1476967,1467074,1455573,1442672,1429293,1415466,1401454,1387392,1373203,1359336,1346162,1333119,1319944,1307295,1295415,1284231
26,men,1737581,1738621,1738737,1737566,1733323,1726102,1717155,1706878,1693126,1688204,1697945,1715466,1730843,1748511,1749607,1725461,1685094,1654253,1590988,1565808,1551306,1546563,1528332,1490451,1479377,1469892,1448841,1453427,1459090,1455654,1475769,1506575,1476178,1465103,1491874,1483763,1474800,1464946,1453485,1440630,1427285,1413499,1399531,1385502,1371356,1357522,1344389,1331375,1318237,1305619,1293765
27,men,1724114,1732703,1733859,1734087,1733032,1728921,1721857,1713265,1703346,1689680,1684728,1694412,1711858,1727164,1744806,1745967,1721932,1681714,1651006,1587911,1562822,1548404,1543717,1525559,1487790,1476777,1467366,1446409,1451030,1456732,1453347,1473465,1504259,1473939,1462909,1489665,1481589,1472667,1462849,1451426,1438615,1425309,1411560,1397632,1383640,1369534,1355734,1342635,1329654,1316547,1303965
