age,sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
64,men,545961,571626,595968,617978,638567,661068,684985,709715,735696,762248,789389,817240,844506,870946,896378,922132,948349,972199,992932,1011229,1030267,1050785,1067361,1078438,1086481,1095618,1103848,1120116,1148943,1185720,1220886,1255880,1289067,1318505,1344712,1370474,1395926,1415156,1425707,1429990,1433370,1435666,1435224,1432153,1427404,1421047,1411315,1408883,1418773,1435246,1449963
65,men,510943,534009,559354,583416,605206,625613,647900,671586,696072,721775,748047,774896,802452,829426,855594,880772,906263,932224,955848,976396,994551,1013436,1033765,1050220,1061265,1069316,1078449,1086683,1102816,1131321,1167647,1202394,1236971,1269771,1298884,1324818,1350311,1375502,1394561,1405054,1409373,1412795,1415146,1414792,1411844,1407243,1401035,1391498,1389163,1398966,1415262
66,men,476122,497605,520341,545309,569041,590571,610748,632781,656180,680363,705739,731671,758170,785370,811994,837837,862710,887881,913523,936874,957207,975176,993878,1013979,1030289,1041283,1049334,1058445,1066674,1082646,1110760,1146552,1180800,1214882,1247223,1275949,1301550,1326720,1351595,1370445,1380864,1385205,1388673,1391082,1390830,1388017,1383579,1377548,1368236,1366003,1375706
67,men,445469,463693,484869,507269,531868,555266,576536,596485,618261,641369,665238,690289,715876,742028,768873,795153,820666,845231,870086,895407,918473,938593,956376,974888,994750,1010905,1021846,1029890,1038965,1047179,1062992,1090721,1125979,1159736,1193328,1225211,1253552,1278822,1303673,1328234,1346864,1357209,1361569,1365070,1367531,1367364,1364692,1360401,1354539,1345446,1343311
68,men,420954,433840,451815,472691,494757,518988,542061,563070,582790,604297,627118,650675,675396,700644,726449,752935,778869,804052,828309,852849,877849,900627,920521,938115,956430,976060,992053,1002929,1010962,1019994,1028185,1043830,1071170,1105906,1139177,1172289,1203717,1231674,1256609,1281140,1305393,1323808,1334065,1338438,1341969,1344482,1344394,1341846,1337700,1332000,1323114
69,men,400510,409961,422729,440455,461035,482772,506638,529392,550137,569622,590858,613387,636641,661024,685934,711393,737524,763114,787966,811914,836136,860815,883307,902974,920371,938481,957878,973706,984507,992523,1001507,1009669,1025146,1052096,1086318,1119106,1151742,1182716,1210293,1234897,1259106,1283051,1301247,1311421,1315797,1319352,1321905,1321900,1319464,1315459,1309910
70,men,380401,387498,396876,409469,426873,447066,468383,491775,514110,534499,553665,574544,596682,619530,643480,667947,692951,718606,743743,768157,791694,815493,839741,861856,881215,898348,916170,935248,950849,961535,969502,978404,986502,1001745,1028196,1061754,1093915,1125927,1156322,1183395,1207570,1231349,1254890,1272788,1282844,1287213,1290781,1293366,1293447,1291143,1287298
71,men,361702,365526,372596,381866,394229,411237,430951,451761,474578,496395,516343,535113,555543,577200,599543,622959,646879,671322,696396,720971,744845,767871,791151,814864,836503,855469,872271,889735,908409,923716,934246,942133,950923,958927,973875,999711,1032463,1063858,1095108,1124795,1151250,1174897,1198151,1221181,1238716,1248612,1252963,1256533,1259146,1259317,1257160
72,men,341081,347558,351473,358504,367651,379787,396405,415643,435962,458216,479522,499030,517410,537398,558576,580422,603312,626689,650581,675089,699109,722451,744967,767734,790924,812097,830669,847137,864243,882523,897528,907900,915695,924362,932269,946924,972157,1004120,1034767,1065276,1094265,1120113,1143234,1165980,1188505,1205682,1215412,1219738,1223304,1225937,1226192
73,men,316605,327749,334201,338179,345167,354177,366088,382324,401096,420928,442634,463438,482512,500504,520056,540766,562118,584498,607337,630686,654633,678111,700931,722943,745205,767873,788586,806761,822903,839652,857541,872248,882455,890158,898697,906502,920858,945500,976692,1006605,1036387,1064692,1089950,1112550,1134798,1156828,1173645,1183209,1187503,1191056,1193705
74,men,290029,304232,315157,321575,325598,332528,341397,353078,368941,387259,406614,427785,448096,466748,484351,503472,523729,544587,566458,588777,611587,634985,657927,680231,701748,723517,745671,765930,783716,799526,815925,833426,847832,857873,865473,873884,881582,895639,919702,950140,979336,1008411,1036040,1060726,1082810,1104560,1126110,1142572,1151970,1156231,1159766
75,men,264908,275905,289655,300294,306643,310704,317538,326222,337598,352987,370743,389500,410008,429692,447812,464925,483491,503165,523421,544644,566312,588446,611151,633417,655072,675961,697105,718614,738293,755593,770973,786924,803934,817955,827776,835234,843477,851023,864703,888041,917538,945835,974026,1000815,1024776,1046220,1067344,1088281,1104294,1113468,1117675
76,men,240351,249316,259925,273137,283427,289675,293750,300455,308904,319912,334732,351814,369857,389580,408525,426001,442527,460440,479410,498939,519395,540280,561612,583492,604953,625825,645970,666360,687105,706086,722797,737663,753077,769499,783056,792600,799876,807903,815257,828485,850963,879342,906577,933711,959509,982610,1003285,1023661,1043863,1059341,1068246
77,men,218060,226208,234877,245108,257798,267745,273875,277948,284512,292726,303366,317640,334071,351422,370388,388627,405474,421424,438705,456994,475820,495529,515655,536208,557288,577976,598087,617513,637170,657174,675482,691616,705977,720859,736710,749822,759081,766179,773990,781149,793936,815582,842883,869093,895207,920046,942313,962250,981903,1001391,1016342
78,men,199182,205231,213111,221487,231351,243536,253148,259149,263201,269612,277588,287871,301611,317419,334107,352335,369892,386134,401521,418194,435820,453967,472951,492345,512142,532451,552386,571765,590493,609437,628720,646377,661952,675823,690189,705477,718159,727137,734048,741642,748607,760962,781804,808068,833294,858427,882338,903795,923014,941967,960769
79,men,182705,187461,193354,200972,209054,218556,230263,239540,245407,249421,255676,263410,273348,286569,301776,317828,335348,352245,367904,382745,398819,415806,433296,451582,470265,489334,508892,528101,546771,564822,583080,601657,618685,633716,647110,660976,675719,687975,696678,703405,710779,717548,729478,749550,774817,799091,823281,846295,866968,885497,903771
80,men,166327,169576,174186,179866,187152,194871,203920,215042,223904,229579,233524,239559,246981,256483,269074,283545,298823,315481,331566,346500,360677,376015,392214,408894,426333,444136,462312,480950,499264,517060,534271,551688,569399,585640,599993,612789,626033,640104,651820,660176,666654,673747,680263,691669,710786,734834,757945,780981,802904,822607,840284
81,men,150333,152038,155228,159654,165066,171951,179240,187761,198194,206565,211994,215832,221599,228650,237634,249491,263101,277482,293148,308293,322377,335763,350243,365525,381255,397700,414482,431615,449185,466455,483230,499456,515877,532583,547902,561458,573553,586059,599345,610425,618360,624536,631284,637494,648274,666286,688919,710678,732366,753024,771597
82,men,135007,137418,139171,142276,146525,151666,158168,165043,173064,182857,190756,195947,199663,205161,211849,220343,231506,244308,257838,272572,286830,300117,312756,326417,340831,355665,371174,386992,403136,419688,435968,451786,467081,482562,498311,512763,525557,536989,548797,561331,571807,579338,585224,591634,597548,607739,624706,646006,666488,686905,706368
83,men,120199,123398,125781,127558,130566,134638,139516,145650,152138,159681,168870,176321,181272,184864,190100,196436,204465,214974,227017,239743,253596,267022,279548,291484,304371,317961,331947,346567,361473,376694,392294,407631,422545,436957,451555,466399,480028,492103,502899,514044,525871,535771,542910,548515,554605,560227,569857,585837,605888,625168,644391
84,men,105762,109850,112938,115277,117060,119968,123851,128484,134264,140377,147475,156099,163126,167838,171299,176285,182283,189865,199757,211085,223061,236082,248723,260532,271801,283958,296768,309955,323738,337777,352122,366822,381273,395332,408914,422671,436664,449514,460909,471103,481618,492773,502131,508891,514223,520005,525345,534444,549487,568361,586508
85,men,91548,94681,98501,101433,103695,105454,108229,111874,116204,121570,127235,133804,141767,148290,152711,155992,160667,166259,173304,182473,192958,204044,216100,227804,238766,249239,260526,272415,284656,297445,310465,323773,337407,350806,363848,376455,389215,402197,414128,424708,434186,443957,454314,463017,469329,474322,479732,484723,493190,507136,524617
86,men,77412,80047,82955,86474,89214,91365,93074,95678,99051,103025,107919,113080,119050,126273,132223,136302,139369,143681,148813,155249,163599,173139,183217,194188,204842,214846,224419,234727,245573,256745,268408,280283,292419,304852,317068,328954,340459,352094,363935,374828,384488,393149,402078,411537,419491,425290,429891,434872,439468,447211,459924
87,men,63209,67673,70124,72812,76042,78591,80627,82271,84703,87822,91464,95925,100627,106051,112598,118023,121783,124640,128613,133319,139190,146796,155477,164645,174622,184326,193456,202194,211608,221508,231694,242331,253160,264226,275562,286702,297535,308030,318643,329438,339378,348199,356114,364269,372904,380173,385497,389733,394312,398540,405621
88,men,48783,55256,59271,61540,64020,66985,69350,71264,72833,75091,77968,81304,85367,89651,94583,100520,105463,108919,111574,115225,119544,124897,131823,139722,148065,157137,165971,174304,182284,190874,199914,209203,218897,228770,238860,249196,259353,269233,278796,288477,298318,307391,315442,322674,330121,338001,344645,349528,353425,357624,361517
89,men,33992,42649,48396,52009,54105,56392,59101,61290,63080,64570,66666,69309,72367,76061,79959,84442,89832,94337,97508,99969,103325,107285,112168,118468,125657,133247,141497,149537,157143,164430,172269,180511,188992,197828,206825,216030,225451,234708,243717,252435,261264,270231,278508,285856,292462,299261,306448,312521,316993,320583,324428
90,men,155814,155891,163643,175211,188114,200858,213666,226913,240102,252916,265178,277513,290381,304062,318955,335033,352599,372193,392729,412903,432174,451480,471355,492517,515998,542216,571089,602780,636664,672043,708423,746158,785393,826114,868408,912170,957358,1003936,1051543,1099797,1148335,1197201,1246463,1295445,1343371,1389754,1435003,1479630,1522751,1563205,1600637
0,women,1419701,1422839,1427156,1422737,1441479,1470579,1440182,1428739,1454179,1445697,1436456,1426278,1414600,1401615,1388158,1374314,1360316,1346290,1332175,1318392,1305301,1292348,1279278,1266775,1255017,1243920,1233118,1222551,1212636,1203232,1194241,1185619,1177640,1170337,1163191,1156075,1149049,1142287,1135653,1128697,1121276,1113655,1106043,1098081,1089550,1080489,1071261,1062175,1052842,1043222,1033504
1,women,1438669,1416807,1420105,1424577,1420286,1439113,1468321,1438077,1426752,1452251,1443841,1434673,1424564,1412943,1400020,1386627,1372841,1358902,1344924,1330856,1317122,1304069,1291158,1278127,1265651,1253927,1242859,1232086,1221547,1211649,1202275,1193299,1184694,1176741,1169449,1162321,1155225,1148211,1141462,1134838,1127898,1120492,1112879,1105279,1097332,1088813,1079763,1070550,1061469,1052148,1042537
2,women,1448066,1437516,1415711,1419043,1423545,1419288,1438133,1467381,1437205,1425912,1451406,1443013,1433860,1423766,1412159,1399262,1385894,1372131,1358222,1344256,1330212,1316498,1303463,1290574,1277555,1265094,1253386,1242328,1231570,1221043,1211155,1201793,1192832,1184232,1176291,1169008,1161886,1154802,1147796,1141057,1134436,1127503,1120102,1112501,1104905,1096961,1088452,1079402,1070201,1061127,1051806
3,women,1459639,1447393,1436870,1415090,1418442,1422961,1418728,1437605,1466883,1436731,1425443,1450935,1442539,1433394,1423307,1411711,1398828,1385476,1371720,1357832,1343872,1329845,1316138,1303110,1290234,1277224,1264772,1253075,1242025,1231273,1220751,1210877,1201514,1192560,1183967,1176030,1168755,1161637,1154556,1147550,1140815,1134201,1127276,1119877,1112280,1104687,1096746,1088240,1079196,1069997,1060931
4,women,1497689,1459117,1446892,1436386,1414628,1417992,1422525,1418332,1437237,1466518,1436376,1425083,1450574,1442173,1433033,1422956,1411371,1398494,1385153,1371408,1357530,1343577,1329561,1315861,1302840,1289973,1276967,1264524,1252834,1241785,1231043,1220523,1210655,1201296,1192347,1183761,1175824,1168556,1161444,1154364,1147360,1140629,1134019,1127093,1119698,1112104,1104513,1096578,1088071,1079028,1069835
5,women,1516610,1497252,1458703,1446494,1436003,1414265,1417642,1422207,1418051,1436953,1466228,1436087,1424796,1450277,1441880,1432746,1422679,1411104,1398237,1384900,1371160,1357289,1343344,1329337,1315645,1302626,1289766,1276766,1264325,1252644,1241594,1230860,1220345,1210483,1201126,1192180,1183595,1175659,1168396,1161288,1154213,1147209,1140485,1133875,1126955,1119563,1111966,1104379,1096450,1087939,1078899
6,women,1522719,1516225,1496883,1458354,1446162,1435678,1413961,1417373,1421970,1417819,1436711,1465983,1435838,1424547,1450024,1441636,1432511,1422447,1410881,1398019,1384690,1370957,1357090,1343152,1329147,1315460,1302448,1289593,1276602,1264162,1252489,1241439,1230711,1220197,1210338,1200985,1192046,1183460,1175526,1168269,1161159,1154085,1147079,1140365,1133757,1126838,1119449,1111853,1104268,1096346,1087830
7,women,1538431,1522335,1515853,1496529,1458014,1445833,1435370,1413688,1417129,1421739,1417584,1436471,1465736,1435589,1424303,1449782,1441395,1432278,1422222,1410666,1397810,1384486,1370763,1356899,1342971,1328971,1315287,1302276,1289422,1276435,1264005,1252338,1241289,1230566,1220056,1210198,1200846,1191910,1183326,1175391,1168139,1161034,1153964,1146957,1140249,1133641,1126724,1119333,1111742,1104157,1096241
8,women,1564515,1538041,1521959,1515484,1496182,1457688,1445521,1435090,1413450,1416891,1421500,1417344,1436221,1465480,1435339,1424065,1449545,1441164,1432053,1422002,1410456,1397602,1384285,1370571,1356709,1342783,1328788,1315113,1302111,1289260,1276275,1263848,1252184,1241142,1230418,1219916,1210059,1200710,1191777,1183197,1175264,1168007,1160910,1153848,1146837,1140134,1133528,1126616,1119219,1111633,1104050
9,women,1628283,1564119,1537664,1521605,1515135,1495847,1457375,1445241,1434848,1413221,1416654,1421257,1417106,1435968,1465224,1435094,1423830,1449310,1440933,1431832,1421784,1410247,1397395,1384086,1370378,1356523,1342606,1328614,1314937,1301944,1289098,1276118,1263697,1252032,1240992,1230272,1219770,1209922,1200577,1191642,1183064,1175136,1167881,1160787,1153728,1146719,1140016,1133414,1126507,1119108,1111518
10,women,1661480,1627850,1563712,1537272,1521227,1514776,1495502,1457063,1444960,1434580,1412962,1416393,1420992,1416845,1435703,1464962,1434841,1423584,1449066,1440694,1431606,1421558,1410026,1397179,1383882,1370179,1356326,1342417,1328429,1314755,1301766,1288930,1275949,1263532,1251875,1240835,1230125,1219623,1209774,1200433,1191501,1182924,1174999,1167749,1160652,1153600,1146593,1139888,1133287,1126386,1118991
11,women,1703238,1661002,1627400,1563296,1536871,1520838,1514403,1495160,1456747,1444660,1434282,1412677,1416110,1420709,1416569,1435421,1464686,1434580,1423329,1448811,1440435,1431369,1421323,1409796,1396956,1383666,1369964,1356121,1342220,1328237,1314569,1301582,1288753,1275778,1263362,1251705,1240671,1229966,1219468,1209623,1200283,1191357,1182778,1174857,1167613,1160513,1153467,1146459,1139757,1133154,1126260
12,women,1730471,1702759,1660543,1626961,1562893,1536486,1520465,1514057,1494843,1456445,1444364,1433989,1412393,1415824,1420426,1416305,1435151,1464420,1434321,1423078,1448570,1440192,1431136,1421093,1409579,1396744,1383459,1369759,1355923,1342027,1328048,1314384,1301404,1288578,1275609,1263198,1251541,1240514,1229816,1219318,1209478,1200138,1191216,1182637,1174719,1167477,1160377,1153335,1146330,1139628,1133033
13,women,1734884,1729977,1702289,1660098,1626537,1562495,1536110,1520118,1513734,1494531,1456147,1444068,1433697,1412116,1415548,1420147,1416042,1434886,1464165,1434079,1422836,1448336,1439958,1430908,1420868,1409363,1396531,1383253,1369559,1355726,1341840,1327866,1314207,1301231,1288410,1275441,1263037,1251381,1240356,1229664,1219166,1209332,1199997,1191079,1182500,1174586,1167343,1160244,1153206,1146205,1139499
14,women,1724644,1734387,1729500,1701833,1659661,1626130,1562114,1535753,1519792,1513420,1494222,1455847,1443773,1433406,1411837,1415280,1419879,1415783,1434630,1463900,1433835,1422593,1448099,1439722,1430681,1420645,1409148,1396322,1383046,1369364,1355530,1341654,1327684,1314024,1301049,1288238,1275271,1262874,1251224,1240202,1229516,1219016,1209182,1199847,1190935,1182356,1174449,1167209,1160106,1153072,1146078
15,women,1715661,1723964,1733716,1728852,1701214,1659071,1625567,1561614,1535293,1519342,1512974,1493787,1455424,1443352,1432997,1411442,1414894,1419507,1415412,1434265,1463532,1433488,1422253,1447761,1439389,1430356,1420326,1408836,1396021,1382745,1369076,1355250,1341380,1327420,1313765,1300792,1287983,1275024,1262636,1250985,1239969,1229288,1218795,1208965,1199634,1190727,1182144,1174241,1167008,1159905,1152874
16,women,1704083,1714772,1723097,1732875,1728031,1700423,1658334,1624883,1561000,1534702,1518764,1512400,1493220,1454874,1442807,1432474,1410939,1414398,1419023,1414946,1433800,1463064,1433036,1421809,1447322,1438964,1429935,1419917,1408437,1395631,1382359,1368698,1354883,1341021,1327069,1313423,1300458,1287656,1274701,1262319,1250676,1239665,1228992,1218506,1208679,1199350,1190450,1181870,1173966,1166740,1159641
17,women,1698915,1703207,1713915,1722257,1732056,1727240,1699661,1657631,1624240,1560401,1534119,1518185,1511823,1492655,1454334,1442279,1431961,1410445,1413919,1418550,1414485,1433345,1462609,1432597,1421382,1446892,1438539,1429521,1419511,1408044,1395248,1381984,1368327,1354519,1340666,1326724,1313086,1300128,1287332,1274384,1262005,1250370,1239362,1228697,1218209,1208391,1199069,1190174,1181601,1173697,1166476
18,women,1706025,1698044,1702355,1713083,1721444,1731258,1726469,1698945,1656977,1623616,1559805,1533536,1517613,1511255,1492098,1453799,1441764,1431464,1409962,1413446,1418091,1414033,1432893,1462159,1432162,1420957,1446470,1438124,1429119,1419108,1407648,1394865,1381611,1367963,1354160,1340314,1326384,1312749,1299799,1287008,1274069,1261699,1250066,1239064,1228412,1217921,1208104,1198790,1189896,1181329,1173426
19,women,1720566,1705147,1697196,1701532,1712275,1720658,1730489,1725747,1698274,1656341,1622999,1559219,1532958,1517040,1510695,1491555,1453276,1441256,1430975,1409492,1412981,1417634,1413595,1432449,1461721,1431743,1420543,1446052,1437712,1428718,1418719,1407264,1394489,1381238,1367605,1353804,1339969,1326050,1312420,1299477,1286690,1273759,1261394,1249764,1238765,1228121,1217637,1207825,1198513,1189621,1181062
20,women,1731015,1719586,1704199,1696274,1700631,1711401,1719810,1729720,1725041,1697583,1655665,1622326,1558569,1532307,1516405,1510071,1490950,1452701,1440698,1430433,1408972,1412469,1417125,1413106,1431957,1461227,1431266,1420079,1445586,1437252,1428268,1418281,1406833,1394071,1380825,1367207,1353408,1339581,1325669,1312048,1299115,1286329,1273411,1261052,1249428,1238431,1227797,1217315,1207509,1198202,1189312
21,women,1738730,1729918,1718531,1703180,1695286,1699665,1710459,1718966,1728967,1724307,1696848,1654933,1621594,1557852,1531594,1515718,1509395,1490294,1452073,1440092,1429840,1408405,1411912,1416572,1412567,1431420,1460687,1430745,1419574,1445077,1436753,1427775,1417802,1406363,1393609,1380372,1366764,1352973,1339154,1325249,1311639,1298715,1285931,1273026,1260673,1249059,1238063,1227432,1216960,1207164,1197858
22,women,1746453,1737639,1728854,1717502,1702188,1694326,1698739,1709621,1718220,1728232,1723558,1696100,1654184,1620846,1557133,1530900,1515041,1508734,1489655,1451458,1439494,1429260,1407845,1411361,1416031,1412042,1430894,1460161,1430237,1419071,1444574,1436264,1427291,1417322,1405898,1393154,1379925,1366325,1352540,1338736,1324835,1311237,1298320,1285542,1272643,1260294,1248689,1237701,1227080,1216613,1206821
23,women,1754090,1745356,1736574,1727821,1716503,1701226,1693407,1697906,1708886,1717498,1727489,1722797,1695332,1653418,1620096,1556426,1530218,1514380,1508088,1489028,1450859,1438911,1428692,1407298,1410821,1415502,1411519,1430372,1459639,1429737,1418580,1444077,1435779,1426817,1416853,1405439,1392704,1379485,1365895,1352116,1338323,1324429,1310837,1297931,1285158,1272265,1259921,1248324,1237342,1226724,1216261
24,women,1760375,1752994,1744295,1735540,1726819,1715540,1700302,1692587,1697176,1708168,1716761,1726729,1722024,1694551,1652657,1619368,1555738,1529549,1513729,1507455,1488413,1450266,1438337,1428129,1406758,1410289,1414982,1411012,1429862,1459125,1429244,1418099,1443587,1435302,1426347,1416394,1404985,1392254,1379050,1365467,1351698,1337911,1324026,1310438,1297537,1284778,1271889,1259552,1247958,1236988,1226377
25,women,1764726,1759130,1751787,1743129,1734408,1725734,1714505,1699432,1691842,1696424,1707383,1715945,1725869,1721136,1693676,1651820,1618571,1554982,1528818,1513017,1506759,1487738,1449621,1437710,1427521,1406166,1409709,1414406,1410453,1429307,1458563,1428704,1417572,1443050,1434781,1425834,1415887,1404491,1391765,1378576,1364998,1351240,1337464,1323586,1310013,1297113,1284362,1271479,1259152,1247563,1236600
26,women,1767952,1763345,1757789,1750485,1741869,1733191,1724581,1713530,1698644,1691075,1695612,1706512,1715025,1724897,1720157,1692733,1650916,1617700,1554164,1528029,1512254,1506011,1487010,1448924,1437028,1426860,1405524,1409079,1413792,1409850,1428705,1457958,1428120,1416998,1442468,1434215,1425278,1415336,1403954,1391242,1378062,1364494,1350740,1336978,1323108,1309546,1296656,1283913,1271037,1258713,1247134
27,women,1762625,1766569,1762003,1756487,1749222,1740653,1732031,1723607,1712736,1697874,1690263,1694756,1705605,1714065,1723913,1719199,1691810,1650034,1616858,1553362,1527250,1511498,1505273,1486289,1448234,1436356,1426211,1404900,1408456,1413182,1409256,1428112,1457361,1427547,1416437,1441900,1433656,1424730,1414800,1403423,1390725,1377551,1363996,1350247,1336499,1322639,1309084,1296201,1283468,1270603,1258281
28,women,1745200,1761249,1765231,1760702,1755223,1748002,1739489,1731045,1722812,1711961,1697066,1689415,1693855,1704651,1713093,1722955,1718267,1690909,1649164,1616030,1552580,1526492,1510759,1504555,1485587,1447563,1435693,1425573,1404283,1407850,1412583,1408671,1427528,1456770,1426980,1415878,1441340,1433103,1424181,1414268,1402902,1390212,1377050,1363502,1349759,1336026,1322175,1308628,1295750,1283025,1270173
29,women,1719001,1743844,1759911,1763931,1759440,1754005,1746841,1738504,1730245,1722036,1711148,1696212,1688520,1692906,1703688,1712147,1722017,1717345,1690023,1648319,1615216,1551814,1525748,1510035,1503852,1484889,1446903,1435047,1424943,1403673,1407250,1411996,1408098,1426952,1456190,1426421,1415329,1440784,1432559,1423646,1413743,1402381,1389703,1376551,1363018,1349282,1335559,1321714,1308174,1295304,1282587
30,women,1692130,1717425,1742293,1758384,1762439,1757996,1752619,1745584,1737429,1729208,1720981,1710076,1695122,1687403,1691774,1702573,1711050,1720941,1716292,1689002,1647341,1614276,1550928,1524884,1509193,1503030,1484084,1446133,1434300,1424213,1402966,1406549,1411310,1407424,1426276,1455510,1425763,1414685,1440134,1431919,1423019,1413128,1401774,1389106,1375962,1362443,1348716,1335001,1321171,1307639,1294778
31,women,1664448,1690337,1715654,1740547,1756668,1760771,1756388,1751142,1744246,1736125,1727897,1719671,1708767,1693815,1686106,1690500,1701317,1709811,1719718,1715097,1687849,1646233,1613206,1549919,1523904,1508244,1502098,1483172,1445255,1433442,1423377,1402163,1405758,1410529,1406657,1425508,1454734,1425012,1413945,1439390,1431185,1422302,1412416,1401080,1388420,1375292,1361783,1348070,1334361,1320547,1307025
32,women,1631886,1662685,1688600,1713937,1738855,1755010,1759165,1754909,1749796,1742933,1734816,1726587,1718356,1707446,1692516,1684841,1689251,1700086,1708600,1718523,1713928,1686717,1645145,1612159,1548930,1522944,1507312,1501181,1482280,1444399,1432605,1422558,1401369,1404975,1409752,1405902,1424755,1453968,1424275,1413220,1438660,1430464,1421597,1411713,1400393,1387746,1374632,1361130,1347431,1333730,1319927
33,women,1593718,1630169,1660981,1686914,1712270,1737212,1753408,1757688,1753562,1748485,1741616,1733502,1725267,1717037,1706138,1691244,1683600,1688036,1698888,1707419,1717352,1712781,1685606,1644083,1611133,1547959,1521999,1506392,1500280,1481397,1443551,1431777,1421753,1400589,1404203,1408989,1405148,1424005,1453212,1423540,1412500,1437935,1429749,1420894,1411021,1399713,1387076,1373976,1360484,1346794,1333106
34,women,1552480,1592040,1628496,1659320,1685274,1710659,1735629,1751938,1756346,1752247,1747162,1740296,1732179,1723935,1715725,1704858,1690003,1682380,1686841,1697709,1706258,1716202,1711649,1684509,1643035,1610121,1547002,1521070,1505484,1499388,1480528,1442719,1430963,1420954,1399817,1403440,1408236,1404405,1423259,1452466,1422812,1411785,1437217,1429041,1420197,1410333,1399041,1386413,1373323,1359840,1346159
35,women,1510490,1550550,1590111,1626574,1657411,1683384,1708807,1733858,1750279,1754726,1750635,1745548,1738695,1730583,1722354,1714186,1703353,1688541,1680947,1685433,1696310,1704880,1714841,1710309,1683208,1641788,1608919,1545863,1519954,1504393,1498320,1479481,1441712,1429979,1419986,1398884,1402513,1407322,1403506,1422358,1451554,1421927,1410909,1436337,1428172,1419344,1409488,1398209,1385591,1372517,1359050
36,women,1466152,1508315,1548380,1587940,1624400,1655259,1681261,1706766,1731910,1748348,1752804,1748731,1743649,1736816,1728734,1720544,1712420,1701626,1686863,1679307,1683818,1694703,1703286,1713267,1708760,1681698,1640341,1607516,1544534,1518663,1503120,1497078,1478260,1440539,1428827,1418856,1397793,1401424,1406247,1402444,1421296,1450478,1420894,1409882,1435294,1427144,1418334,1408490,1397221,1384624,1371564
37,women,1430958,1464048,1506201,1546267,1585830,1622292,1653171,1679258,1704853,1730008,1746439,1750898,1746838,1741765,1734963,1726925,1718775,1710688,1699941,1685215,1677695,1682224,1693131,1701725,1711718,1707239,1680217,1638919,1606135,1543221,1517386,1501872,1495857,1477056,1439380,1427693,1417744,1396717,1400355,1405190,1401395,1420248,1449412,1419863,1408869,1434265,1426129,1417331,1407503,1396246,1383660
38,women,1410505,1428906,1462002,1504149,1544209,1583778,1620249,1651208,1677375,1702980,1728122,1744544,1749007,1744956,1739910,1733148,1725158,1717039,1708991,1698287,1683597,1676113,1680659,1691580,1700189,1710195,1705736,1678754,1637516,1604776,1541928,1516125,1500638,1494645,1475870,1438231,1426567,1416642,1395644,1399293,1404141,1400356,1419211,1448358,1418833,1407862,1433246,1425117,1416333,1406517,1395280
39,women,1399476,1408485,1426918,1460014,1502153,1542208,1581789,1618326,1649365,1675539,1701124,1726247,1742659,1747127,1743096,1738093,1731367,1723419,1715339,1707330,1696665,1682007,1674553,1679125,1690058,1698671,1708692,1704256,1677312,1636128,1603435,1540659,1514882,1499424,1493449,1474698,1437098,1425452,1415551,1394585,1398240,1403095,1399322,1418180,1447313,1417822,1406859,1432232,1424113,1415343,1405546
40,women,1386670,1396995,1406046,1424502,1457600,1499727,1539780,1579400,1615998,1647044,1673202,1698776,1723884,1740286,1744781,1740793,1735836,1729158,1721251,1713217,1705254,1694630,1680021,1672599,1677189,1688139,1696764,1706796,1702389,1675491,1634371,1601732,1539040,1513301,1497872,1491919,1473200,1435650,1424034,1414153,1393227,1396890,1401756,1397996,1416845,1445959,1416509,1405563,1430922,1422819,1414057
41,women,1373995,1383714,1394087,1403193,1421671,1454774,1496887,1536963,1576617,1613204,1644231,1670379,1695941,1721037,1737452,1741986,1738051,1733149,1726516,1718662,1710678,1702765,1692191,1677630,1670250,1674863,1685825,1694465,1704508,1700135,1673291,1632246,1599677,1537079,1511380,1495990,1490063,1471376,1433885,1422297,1412449,1391567,1395238,1400120,1396379,1415214,1444304,1414900,1403971,1429310,1421226
42,women,1359337,1371063,1380837,1391250,1400409,1418914,1452021,1494160,1534267,1573900,1610450,1641458,1667591,1693140,1718236,1734675,1739249,1735362,1730506,1723919,1716120,1708185,1700314,1689789,1675281,1667942,1672578,1683547,1692199,1702247,1697906,1671119,1630146,1597638,1535140,1509481,1494128,1488225,1469577,1432145,1420584,1410764,1389926,1393602,1398495,1394770,1413599,1442661,1413306,1402395,1427712
43,women,1340415,1356444,1368211,1378037,1388489,1397702,1416230,1449375,1491546,1531627,1571226,1607740,1638723,1664843,1690387,1715489,1731953,1736561,1732722,1727915,1721368,1713619,1705731,1697906,1687421,1672961,1665657,1670318,1681297,1689963,1700019,1695709,1668974,1628072,1595624,1533221,1507603,1492287,1486405,1467789,1430412,1418886,1409094,1388293,1391984,1396881,1393177,1411993,1441032,1411719,1400830
