age,sex,race3,educ,year,pop
9,2,2,2,2000,0
10,1,0,0,2000,12787.3105571266
10,1,0,1,2000,1625.7963961088
10,1,0,2,2000,0
10,1,1,0,2000,823210.656141372
10,1,1,1,2000,52279.1284053912
10,1,1,2,2000,0
10,1,2,0,2000,746567.561973729
10,1,2,1,2000,115319.546526272
10,1,2,2,2000,0
10,2,0,0,2000,11731.7613741917
10,2,0,1,2000,1362.44804168101
10,2,0,2,2000,0
10,2,1,0,2000,760794.703352296
10,2,1,1,2000,73498.2708646865
10,2,1,2,2000,0
10,2,2,0,2000,730035.66134737
10,2,2,1,2000,140104.155019775
10,2,2,2,2000,0
11,1,0,0,2000,8003.32630183843
11,1,0,1,2000,5181.12435810525
11,1,0,2,2000,0
11,1,1,0,2000,613423.337951994
11,1,1,1,2000,278535.261274266
11,1,1,2,2000,0
11,1,2,0,2000,353211.249184371
11,1,2,1,2000,517866.700929427
11,1,2,2,2000,0
11,2,0,0,2000,7159.41388110444
11,2,0,1,2000,6078.42513899002
11,2,0,2,2000,0
11,2,1,0,2000,506946.032290519
11,2,1,1,2000,343916.559003188
11,2,1,2,2000,0
11,2,2,0,2000,296928.901019231
11,2,2,1,2000,577602.668666968
11,2,2,2,2000,0
12,1,0,0,2000,6550.52235079614
12,1,0,1,2000,7818.29856343135
12,1,0,2,2000,0
12,1,1,0,2000,473532.747799832
12,1,1,1,2000,438610.19037337
12,1,1,2,2000,0
12,1,2,0,2000,222189.35061388
12,1,2,1,2000,650102.890298691
12,1,2,2,2000,0
12,2,0,0,2000,6107.34825219379
12,2,0,1,2000,7873.86122247044
12,2,0,2,2000,0
12,2,1,0,2000,362269.356377795
12,2,1,1,2000,512206.339358384
12,2,1,2,2000,0
12,2,2,0,2000,169416.551133564
12,2,2,1,2000,701884.543655593
12,2,2,2,2000,0
13,1,0,0,2000,5282.71063093005
13,1,0,1,2000,8776.78471957341
13,1,0,2,2000,0
13,1,1,0,2000,383144.71205746
13,1,1,1,2000,540148.899386533
13,1,1,2,2000,0
13,1,2,0,2000,156767.411204619
13,1,2,1,2000,724157.482000884
13,1,2,2,2000,0
13,2,0,0,2000,4757.9102521646
13,2,0,1,2000,8878.94578221392
13,2,0,2,2000,0
13,2,1,0,2000,273063.339794297
13,2,1,1,2000,602628.649210148
13,2,1,2,2000,0
13,2,2,0,2000,122046.129913393
13,2,2,1,2000,769437.025047783
13,2,2,2,2000,0
14,1,0,0,2000,4805.96015521076
14,1,0,1,2000,9565.13200454153
14,1,0,2,2000,0
14,1,1,0,2000,317236.627746478
14,1,1,1,2000,619173.696273913
14,1,1,2,2000,0
14,1,2,0,2000,127279.770888874
14,1,2,1,2000,756479.812930983
14,1,2,2,2000,0
14,2,0,0,2000,3593.0385370292
14,2,0,1,2000,10728.0453376593
14,2,0,2,2000,0
14,2,1,0,2000,213478.895025521
14,2,1,1,2000,677141.544075907
14,2,1,2,2000,0
14,2,2,0,2000,91269.8509576918
14,2,2,1,2000,804330.626066192
14,2,2,2,2000,0
15,1,0,0,2000,3712.46479253549
15,1,0,1,2000,10286.8288501786
15,1,0,2,2000,0
15,1,1,0,2000,270601.831184161
15,1,1,1,2000,662589.41629721
15,1,1,2,2000,0
15,1,2,0,2000,111314.494973031
15,1,2,1,2000,783300.963902884
15,1,2,2,2000,0
15,2,0,0,2000,3631.89022418091
15,2,0,1,2000,11623.9718924983
15,2,0,2,2000,0
15,2,1,0,2000,178251.273976979
15,2,1,1,2000,708359.588440384
15,2,1,2,2000,0
15,2,2,0,2000,81937.8739350507
15,2,2,1,2000,828479.401530908
15,2,2,2,2000,0
16,1,0,0,2000,3463.40098081021
16,1,0,1,2000,11438.1224565942
16,1,0,2,2000,0
16,1,1,0,2000,236262.408504423
16,1,1,1,2000,691272.481249743
16,1,1,2,2000,0
16,1,2,0,2000,97108.5892622764
16,1,2,1,2000,800903.997546153
16,1,2,2,2000,0
16,2,0,0,2000,3631.28956949341
16,2,0,1,2000,11310.636014472
16,2,0,2,2000,0
16,2,1,0,2000,151352.700943626
16,2,1,1,2000,721107.752798096
16,2,1,2,2000,0
16,2,2,0,2000,70555.0122952755
16,2,2,1,2000,858949.608379038
16,2,2,2,2000,0
17,1,0,0,2000,3185.66483579997
17,1,0,1,2000,11691.2899647754
17,1,0,2,2000,38.0630315936813
17,1,1,0,2000,220085.602007223
17,1,1,1,2000,697440.756679461
17,1,1,2,2000,382.03305703841
17,1,2,0,2000,89453.7750036313
17,1,2,1,2000,808182.540589443
17,1,2,2,2000,994.2748310339
17,2,0,0,2000,2622.61250691859
17,2,0,1,2000,10738.2078710285
17,2,0,2,2000,27.5871926533935
17,2,1,0,2000,136175.492781123
17,2,1,1,2000,714339.008743972
17,2,1,2,2000,235.530006610522
17,2,2,0,2000,68052.0768960604
17,2,2,1,2000,879002.587506576
17,2,2,2,2000,1745.89649505909
18,1,0,0,2000,2825.57839632846
18,1,0,1,2000,10527.2808095869
18,1,0,2,2000,192.657898334822
18,1,1,0,2000,210517.413878279
18,1,1,1,2000,689871.353934257
18,1,1,2,2000,2325.64847497939
18,1,2,0,2000,89910.8573885517
18,1,2,1,2000,793611.498522191
18,1,2,2,2000,12130.7106974916
18,2,0,0,2000,2981.22290923469
18,2,0,1,2000,11299.6193788772
18,2,0,2,2000,516.006396683844
18,2,1,0,2000,128359.08313508
18,2,1,1,2000,694637.86093178
18,2,1,2,2000,3072.35744540476
18,2,2,0,2000,67070.1322339063
18,2,2,1,2000,869466.360181874
18,2,2,2,2000,19382.3573871604
19,1,0,0,2000,3111.18291253053
19,1,0,1,2000,9599.77960325714
19,1,0,2,2000,1192.2072111608
19,1,1,0,2000,206171.744590151
19,1,1,1,2000,660128.561519248
19,1,1,2,2000,7490.22983457804
19,1,2,0,2000,90105.127169706
19,1,2,1,2000,755592.727415649
19,1,2,2,2000,51332.4397437198
19,2,0,0,2000,2763.60580110321
19,2,0,1,2000,10332.2199260013
19,2,0,2,2000,1685.34358378953
19,2,1,0,2000,127857.475615119
